    0: 1,   # "Chưa có thang máy..." - Overall positive despite some negatives
    1: 0,   # Mixed review about power outages but good breakfast
    2: 1,   # Very positive about staff and comfort
    3: 1,   # Positive about location and cleanliness
    4: 1,   # Positive about cleanliness and location
    5: 1,   # "Không có gì để chê" - Clearly positive
    6: 0,   # Mixed about towels but nice room
    7: 0,   # Suggestions for improvement but some positives
    8: 0,   # Mixed review with both positives and negatives
    9: 1,   # Very positive about bed and service
    10: 1,  # Positive about breakfast and staff
    11: 1,  # "Không có gì để không thích" - Positive
    12: 1,  # Positive about staff
    13: 1,  # "Siêu tuyệt vời" - Very positive
    14: -1, # Negative about staff attitude and privacy
    15: 1,  # Positive about cleanliness and staff
    16: 1,  # Positive about service and cleanliness
    17: 1,  # Very positive about breakfast and overall
    18: 1,  # Positive about hotel quality and staff
    19: 0,  # Mixed review about amenities
    20: 0,  # Mixed about bed but negative about location
    21: 1,  # Positive about decor and staff
    22: 0,  # Mixed about bathroom and cinema
    23: 0,  # Mixed about amenities but positive staff
    24: 0,  # Detailed mixed review with positives and negatives
    25: 0,  # Mixed about wifi but positive staff
    26: 0,  # Mixed review about view and amenities
    27: 0,  # Mixed about breakfast and room
    28: 0,  # Neutral about computer room
    29: 1,  # Positive about space and service
    30: 0,  # Mixed review about soundproofing and location
    31: 1,  # Positive about room comfort
    32: 1,  # Positive despite no breakfast
    33: 1,  # Very positive about cleanliness and food
    34: 0,  # Mixed about location but positive staff
    35: 0,  # Mixed about mirrors but positive staff
    36: 1,  # Overall positive despite minor issues
    37: 0,  # Mixed about shower and elevator
    38: 1,  # Positive despite minor issue
    39: 1,  # Positive about quietness and staff
    40: 1,  # Positive about owner
    41: 1,  # Positive about location and staff
    42: 0,  # Mixed about bed size but good breakfast
    43: 1,  # Very positive about service and amenities
    44: 0,  # Mixed about noise and comfort
    45: 0,  # Mixed about rain support but good service
    46: 0,  # Mixed about room size but good breakfast
    47: 1,  # Positive despite minor suggestions
    48: 1,  # Very positive about staff and breakfast
    49: 1,  # Very positive about breakfast and staff
    50: 1,  # Very positive about owners
    51: 1,  # Positive about location and staff
    52: 1,  # Positive about cleanliness and value
    53: 1,  # Very positive repeat customer
    54: 1,  # Positive about owners
    55: -1, # Negative about hair dryer
    56: 1,  # Positive about breakfast and staff
    57: 1,  # Positive about owner and comfort
    58: 0,  # Mixed about elevator but overall good
    59: 1,  # Positive about amenities and service
    60: 1,  # Positive about breakfast and service
    61: 1,  # Positive about amenities
    62: 0,  # Mixed about soundproofing
    63: 1,  # Positive about staff service
    64: 0,  # Mixed about soundproofing but good location
    65: 0,  # Mixed about staff but good room
    66: 1,  # Positive about bed and staff
    67: 1,  # Positive about bed
    68: -1, # Negative about breakfast variety
    69: 0,  # Neutral review
    70: -1, # Negative about staff and deposit
    71: 1,  # Positive about staff
    72: 0,  # Mixed about amenities
    73: 1,  # Very positive about staff and service
    74: 1,  # Positive about service speed
    75: 0,  # Mixed about request handling
    76: 1,  # Very positive overall
    77: 0,  # Mixed about activities but good view
    78: 1,  # Positive about room and staff
    79: -1, # Very negative about location access
    80: -1, # Negative about facilities and value
    81: -1, # Negative about facilities and food
    82: 1,  # Positive about breakfast
    83: 1,  # Positive about service and comfort
    84: 0,  # Mixed about noise but good staff
    85: 0,  # Mixed about room size but professional staff
    86: 0,  # Mixed about room and elevator
    87: 1,  # Very positive about staff
    88: 0,  # Mixed about bed and breakfast
    89: -1, # Negative about room condition
    90: 0,  # Mixed about toilet but clean room
    91: -1, # Negative about smoking policy
    92: 0,  # Mixed about bathroom but great pool
    93: 0,  # Mixed review about check-in but good facilities
    94: 0,  # Mixed about glass doors but comfortable
    95: 0,  # Neutral about payment and cleanliness
    96: 0,  # Mixed about bathroom size
    97: 1,  # Positive about modern space
    98: 0,  # Mixed about facilities
    99: 1,  # Positive about cleanliness and transport
    100: -1 # Very negative overall
    101: 0,   # Mixed review about wifi but good room and staff
    102: 1,   # "Tất cả đều tuyệt vời" - Clearly positive
    103: 0,   # Mixed about parking but good breakfast and room
    104: 1,   # Positive about price, cleanliness and furniture
    105: -1,  # Negative about poor breakfast quality
    106: -1,  # Negative about staff attitude
    107: 0,   # Neutral about housekeeping and comfort
    108: 0,   # Mixed about breakfast space but good room and staff
    109: 1,   # Very positive about staff service and attitude
    110: 0,   # Mixed about noise but good bed and facilities
    111: 0,   # Neutral description about location near airport
    112: 0,   # Mixed about breakfast but nice small hotel
    113: 1,   # "Phòng mới, sạch và tiện nghi" - All positive
    114: 1,   # Positive about facilities, decor and staff
    115: -1,  # Negative about decor and toilet issues
    116: -1,  # Negative about hot water and breakfast
    117: 0,   # Mixed about room size but good breakfast
    118: 1,   # "Dich vu và an sang tuyệt vời" - All positive
    119: -1,  # Negative about receptionist discrimination
    120: 0,   # Mixed review with multiple pros and cons
    121: -1,  # Negative about poor soundproofing
    122: 1,   # Very satisfied with hotel and services
    123: 0,   # Mixed about old towels but good location
    124: 1,   # Positive about breakfast, staff and food locations
    125: 1,   # Positive about breakfast and staff service
    126: 1,   # Positive about atmosphere and staff interaction
    127: 1,   # Positive about staff service attitude
    128: -1,  # Negative about small bed size
    129: -1,  # Negative about hot water, though good parking
    130: -1,  # Very negative about booking verification and room quality
    131: 0,   # Mixed about room size and price but good location
    132: 0,   # Mixed about no elevator but clean
    133: 0,   # Mixed about hot water but good location and staff
    134: 1,   # Positive about room cleanliness
    135: -1,  # Negative about outside noise
    136: 1,   # Positive about staff service and cleanliness
    137: 0,   # Mixed about Valentine's day but good staff
    138: -1,  # Negative about old facilities and staff attitude
    139: 1,   # Positive about staff and room condition
    140: 0,   # Mixed about bathroom smell but clean room
    141: 1,   # Positive about comfortable bed
    142: 1,   # Positive about staff and location
    143: 0,   # Mixed about noise but good facilities
    144: -1,  # Negative about staff attitude despite good location
    145: 1,   # Positive about balcony and rooftop atmosphere
    146: 0,   # Mixed about bed and bathroom flooding
    147: 1,   # Positive about decoration and staff
