,Text,Label
0,Ga giường sạch nhân viên quên dọn phòng ,-1
1,Nv nhiệt tình phòng sạch tiện nghi thuận tiện di địa Phòng gián,1
2,Đi biển tiện đi Phòng view biển cửa sổ view biển bé,1
3,Tất sạch giường ngủ thoải mái Không quạt điện hòa chút bất tiện ,0
4,Giường sạch thoải mái thiết thiết trang sẵn lười Phòng tắm chia ko gian khô ướt,1
5,phòng ốc trọng giường thoải mái sạch Chỗ xe hơi chật chọi,1
6,Khăn tắm cũ dơ Đồ toilet đồ Không đồ nguyên seal,-1
7,Phòng đẹp sạch biển Nhân viên thương Phòng view biển Tv cáp ,1
8,Rộng rãi sạch Có chỗ phòng bắt wifi,1
9,khách sạn đẹp trọng nhân viên vui vẻ nhiệt tình giá hợp lý sạn biển ,1
10,Không quảng cáo booking Đặt phòng suite phòng nằm k cửa kính ban công Book Chúng động giường cạnh giá phòng 1 giường Ok phòng muỗi Mình bé 3 phòng đêm muỗi thể ngủ Toilet bẩn bàn trà bẩn lau sạch vết trà cà phê cũ Nền gạch rít lau Không ly uống mặc đi thang máy ks bảo ly Trong trà cà phê bàn Theo khen booking đa nội thất hề Rất cũ kĩ Phòng rộng đẹp giá rẻ tệ phong phục vụ Từ check out lễ tân đi ngủ phòng tiếp Làm kêu Điện thoại bàn gọi lễ tân Và tệ gạc công tắt máy lạnh tận lễ tân Nếu giá ok ,-1
11,Khách sạn xây nội thất Mình book phòng nằm tầng cửa gỗ chắn Wifi Lễ tân nhiệt tình vui vẻ hôm phòng lễ tân tiền free cảm giác ràng phòng sạch thơm Ngày đi Khách sạn cửa hàng tiện lợi nằm biển 5 p đi Khách sạn gửi đồ phòng Cảm giác Phòng âm Cô dọn phòng quên khăn free phòng Nhưng mấy lễ tân thương lắm quên mấy liền Nói giá book tiện nghi chê trách ,1
12,Khách sạn biển tối rảnh biển Tuy hơi trung tâm thành phố ảnh hưởng đường phố Đà Nẵng rộng thoáng đi Gần Tiện lợi 24 h đồ Hàn đấy mì xì sụp phim D Bọn ấn tượng phòng Sạch đẹp tiện nghi đẹp ảnh ,1
13,Khách sạn biển Phòng ổn giá tiền tiện nghi sạch máy sấy tóc ấm đun sẵn phòng wifi nóng Cả 2 Lễ tân nhiệt tình thân thiện Máy lạnh lạnh lắm,1
14,Tuyệt vời tất Một kỳ thú vị Nhân viên thân thiện nhiệt tình Phòng ốc sạch Gần biển 3 phút đi tôi hài Rất tiếc thể nữa,1
15,Mình phòng 301 601 2 phòng đầu Phòng đẹp thoáng tiện Nhân viên cực kì ưng thân thiện Thang máy hơi bé sạn ,1
16,Khách sạn sạch thoáng mát biển đi 3 p trung tâm thành phố lắm Nhân viên thân thiện cởi hòa đồng Wifi nóng lạnh Khách sạn An hội sạn tuyệt vời ghé thăm I Like much Cảm ơn sạn kỳ tuyệt vời,1
17,Phòng sạch thương Giá rẻ hợp lý du lịch 4 Nhân viên lễ tân mặt quầy đôi hơi khăn tí ,1
18,phòng sạch tiện nghi lễ tân vui vẻ nhiệt tình phòng ánh trắng hơi tối,1
19,Lễ tân vui vẻ nhiệt tình Vệ sinh phòng bẩn góc cạnh bàn tóc Toalet mùi ,-1
20,Vị trí ạn thuận tuện đi tham quan gian phòng tiện nghi phục vụ Không cả,1
21,Nội thất sạch Đông phòng hơi mùi thuốc tẩy javen hơi ngạt thở 2 hôm đỡ mùi,0
22,Khách sạn thắc mắc mail chu đáo Giá hợp lý biển Cảm ơn giúp gia đình kỳ nghỉ trọn vẹn ,1
23,Có thang máy Cho thuê xe chỗ nghỉ Phòng sạch Phòng hơi hơi ồn đằng sửa Đèn hơi tối ,0
24,Giường nội thất bối trí sơn màu phòng đẹp Thiết kế gian hơi nóng ,1
25,Không gian rộng rãi Công suất hòa Có muỗi phòng ,0
26,Phòng rộng rãi Gần biển Chưa lắp quạt Điện hơi tối ,0
27,Phòng sạch tiện nghi Giá Lần hội an đây,1
28,Vị trí biển phòng ốc đẹp sạch Phòng mùi thơm dịu Nhân viên thân thiện ,1
29,Chiếc giường êm thỏa mái Chỗ xe nhỏ,1
30,Từ sạn biển Phục vụ sạn Các quán ngon Đi tắm dép thể mất,0
31,Thiết kế san đẹp thư giãn thoải mái,1
32,Giường êm Ghế sofa Vị trí biển Chăn Nệm mùi ko thoải mái lắm Cửa đóng,0
33,Giường thoải mái sạch cực kỳ tiền Gần siêu thị tiện lợi Khá sân bay,1
34,Vị trí sạch Phòng nc nóng kém,0
35,Vị trí sạn biển đi 5 p phòng sạch đẹp ,1
